Node Count,multi_func_profit,compute_first,memory_first,single_func,random_deploy
4,1513.140476190476,904.4066666666668,1120.8970000000002,576.0466666666665,604.365238095238
5,1353.3753333333332,861.4342857142858,852.1907142857143,697.7006666666668,640.24
6,1016.4896296296297,557.5615384615384,652.8221739130433,303.9738461538461,476.13888888888897
7,1389.7870588235294,860.1938461538462,539.27,461.70937499999997,404.2147058823529
8,1771.8149999999998,1528.045,1443.3025,1107.5666666666668,1411.5875
9,1101.86,733.93,733.93,367.65,733.93
10,1739.0866666666668,1213.06,1312.8833333333334,432.8933333333334,934.5233333333334
11,2042.444,1119.996,960.59,646.53,567.8280000000001
12,1746.29,317.11,634.22,321.18,554.475
13,1865.9775,760.825,741.4175,424.375,418.515
14,816.89,204.22,,213.86,206.78
20,490.76,,,168.89,162.97
