Node Count,multi_func_profit,compute_first,memory_first,single_func,random_deploy,min_profit
4,194.44772727272724,130.39863636363637,133.28863636363639,116.3009090909091,88.47863636363637,19.249999999999996
5,64.38647058823528,27.061764705882354,22.170588235294115,26.758235294117647,18.798823529411763,-22.74058823529412
6,13.308749999999996,-22.056250000000002,-51.45125,-23.43625,-38.74375,-85.73625
7,82.09666666666668,10.86444444444444,49.739999999999995,-33.624444444444435,-22.234444444444442,-118.77666666666667
8,154.995,92.91333333333334,94.42666666666666,58.028333333333336,33.205000000000005,-16.049999999999997
9,23.66,4.14,7.140000000000001,3.675,6.785,2.07
10,177.345,94.39,80.69750000000002,83.8825,19.4825,-87.33
11,112.91,3.5500000000000007,65.75750000000001,-22.3625,-0.13999999999999702,-106.185
12,154.255,-11.805,-11.805,34.91,-5.904999999999998,-58.519999999999996
14,-11.84,-22.2,-66.61,-66.61,-22.2,-88.81
15,-12.53,-43.93,-109.82,-43.93,-43.93,-131.79
16,-70.95,-264.68,-88.23,-88.23,-79.71,-441.13
