test_data_id,multi_func_profit_info,multi_func_worst_profit_info,multi_func_min_cost_info,multi_func_max_users_info,multi_func_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
1,None,None,None,None,0.002,None,0.0,None,0.0081
2,"[218.59, 280.88, 3.0, [(0, 8), (1, 10), (2, 10)]]","[104.09, 62.4, 1.0, [(0, 12), (1, 4), (2, 5)]]","[55.97, 110.52, 1.0, [(0, 20), (1, 20), (2, 20)]]","[219.11, 280.36, 3.0, [(0, 17), (1, 13), (2, 13)]]",0.0115,"[206.37, 126.61, 2.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[219.11, 280.36, 3.0, [(0, 6), (1, 18), (2, 18)]]",0.0
3,"[503.46, -336.13, 1.0, [(0, 13), (1, 13), (2, 17), (3, 17)]]","[547.21, -379.88, 1.0, [(0, 3), (1, 15), (2, 14), (3, 14)]]","[503.46, -336.13, 1.0, [(0, 13), (1, 13), (2, 17), (3, 17)]]","[504.92, -337.59, 1.0, [(0, 20), (1, 20), (2, 16), (3, 16)]]",0.0155,None,0.0,"[546.31, -378.98, 1.0, [(0, 6), (1, 7), (2, 8), (3, 8)]]",0.002
4,None,None,None,None,0.0233,None,0.0,None,0.0125
5,"[234.96, 615.99, 5.0, [(0, 17), (1, 16), (2, 16), (3, 20), (4, 20), (5, 20)]]","[118.89, 51.3, 1.0, [(0, 7), (1, 8), (2, 1), (3, 8), (4, 1), (5, 8)]]","[29.52, 140.67, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 18), (5, 18)]]","[235.21, 615.74, 5.0, [(0, 18), (1, 16), (2, 16), (3, 20), (4, 20), (5, 20)]]",0.5964,"[116.91, 53.28, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.016
6,"[349.6, -178.26, 1.0, [(0, 12), (1, 4)]]","[351.61, -180.27, 1.0, [(0, 11), (1, 19)]]","[349.6, -178.26, 1.0, [(0, 12), (1, 4)]]","[351.11, -179.77, 1.0, [(0, 20), (1, 16)]]",0.0025,None,0.0,"[350.61, -179.27, 1.0, [(0, 16), (1, 9)]]",0.0
7,None,None,None,None,0.001,None,0.0,None,0.0055
8,None,None,None,None,0.003,None,0.0,None,0.0061
9,"[365.22, -190.0, 1.0, [(0, 12), (1, 12), (2, 12), (3, 4), (4, 4)]]","[402.14, -226.92, 1.0, [(0, 10), (1, 20), (2, 11), (3, 12), (4, 12)]]","[365.22, -190.0, 1.0, [(0, 12), (1, 12), (2, 12), (3, 4), (4, 4)]]","[365.78, -190.56, 1.0, [(0, 20), (1, 20), (2, 20), (3, 10), (4, 10)]]",0.1365,None,0.0,None,0.0166
10,"[557.0, -380.56, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 7), (5, 7)]]","[668.47, -492.03, 1.0, [(0, 13), (1, 17), (2, 3), (3, 4), (4, 12), (5, 12)]]","[557.0, -380.56, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 7), (5, 7)]]","[597.02, -420.58, 1.0, [(0, 20), (1, 20), (2, 16), (3, 17), (4, 17), (5, 17)]]",0.5611,None,0.0,None,0.016
11,"[370.16, -192.97, 1.0, [(0, 18), (1, 6)]]","[372.17, -194.98, 1.0, [(0, 18), (1, 20)]]","[370.16, -192.97, 1.0, [(0, 18), (1, 6)]]","[372.17, -194.98, 1.0, [(0, 18), (1, 20)]]",0.0025,None,0.0,"[370.16, -192.97, 1.0, [(0, 16), (1, 18)]]",0.0
12,"[383.94, -205.21, 1.0, [(0, 19), (1, 19), (2, 12)]]","[409.63, -230.9, 1.0, [(0, 17), (1, 12), (2, 19)]]","[383.94, -205.21, 1.0, [(0, 19), (1, 19), (2, 12)]]","[385.12, -206.39, 1.0, [(0, 20), (1, 20), (2, 18)]]",0.0105,"[408.45, -229.72, 1.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[407.74, -229.01, 1.0, [(0, 12), (1, 5), (2, 4)]]",0.0
13,"[184.71, 535.85, 4.0, [(0, 18), (1, 13), (2, 13), (3, 13)]]","[106.8, 73.34, 1.0, [(0, 20), (1, 18), (2, 20), (3, 18)]]","[33.11, 147.03, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[205.11, 515.45, 4.0, [(0, 20), (1, 20), (2, 16), (3, 16)]]",0.1306,"[106.21, 73.93, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[105.72, 74.42, 1.0, [(0, 17), (1, 3), (2, 2), (3, 3)]]",0.001
14,None,None,None,None,0.029,None,0.0,None,0.0106
15,"[582.33, -400.1, 1.0, [(0, 12), (1, 12), (2, 12), (3, 14), (4, 14), (5, 14)]]","[630.29, -448.06, 1.0, [(0, 17), (1, 16), (2, 9), (3, 2), (4, 2), (5, 2)]]","[582.33, -400.1, 1.0, [(0, 12), (1, 12), (2, 12), (3, 14), (4, 14), (5, 14)]]","[612.41, -430.18, 1.0, [(0, 20), (1, 20), (2, 18), (3, 14), (4, 14), (5, 14)]]",0.4183,None,0.0,None,0.016
16,"[389.02, -205.2, 1.0, [(0, 20), (1, 18)]]","[390.76, -206.94, 1.0, [(0, 16), (1, 18)]]","[389.02, -205.2, 1.0, [(0, 20), (1, 18)]]","[389.02, -205.2, 1.0, [(0, 20), (1, 18)]]",0.0035,"[389.02, -205.2, 1.0, [(0, 1), (1, 2)]]",0.0,"[389.45, -205.63, 1.0, [(0, 9), (1, 2)]]",0.0
17,"[139.93, 415.79, 3.0, [(0, 18), (1, 20), (2, 20)]]","[47.13, 138.11, 1.0, [(0, 19), (1, 12), (2, 12)]]","[34.66, 150.59, 1.0, [(0, 18), (1, 18), (2, 18)]]","[184.19, 371.53, 3.0, [(0, 20), (1, 20), (2, 11)]]",0.019,"[148.65, 221.83, 2.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[124.43, 246.05, 2.0, [(0, 16), (1, 16), (2, 10)]]",0.0
18,"[630.08, -443.9, 1.0, [(0, 16), (1, 16), (2, 20), (3, 20)]]","[658.7, -472.52, 1.0, [(0, 13), (1, 17), (2, 20), (3, 20)]]","[630.08, -443.9, 1.0, [(0, 16), (1, 16), (2, 20), (3, 20)]]","[631.9, -445.72, 1.0, [(0, 20), (1, 20), (2, 18), (3, 18)]]",0.042,None,0.0,None,0.013
19,"[185.75, 563.77, 4.0, [(0, 20), (1, 20), (2, 11), (3, 11), (4, 11)]]","[132.0, 55.38, 1.0, [(0, 20), (1, 10), (2, 20), (3, 10), (4, 20)]]","[36.17, 151.2, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17), (4, 17)]]","[185.75, 563.77, 4.0, [(0, 20), (1, 20), (2, 11), (3, 11), (4, 11)]]",1.0815,"[129.49, 57.89, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[148.26, 226.5, 2.0, [(0, 6), (1, 18), (2, 18), (3, 16), (4, 16)]]",0.001
20,None,None,None,None,0.342,None,0.0,None,0.0145
21,"[110.1, 459.84, 3.0, [(0, 2), (1, 2)]]","[36.7, 153.28, 1.0, [(0, 19), (1, 19)]]","[36.7, 153.28, 1.0, [(0, 19), (1, 19)]]","[195.87, 374.07, 3.0, [(0, 6), (1, 7)]]",0.003,"[132.91, 247.05, 2.0, [(0, 1), (1, 2)]]",0.0,"[131.75, 248.21, 2.0, [(0, 5), (1, 13)]]",0.0
22,"[207.75, 557.53, 4.0, [(0, 12), (1, 14), (2, 14)]]","[57.91, 133.41, 1.0, [(0, 19), (1, 19), (2, 11)]]","[37.21, 154.11, 1.0, [(0, 19), (1, 19), (2, 19)]]","[290.92, 474.36, 4.0, [(0, 20), (1, 16), (2, 18)]]",0.0105,"[220.5, 353.46, 3.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[218.19, 355.77, 3.0, [(0, 19), (1, 6), (2, 19)]]",0.0
23,"[401.71, -209.27, 1.0, [(0, 1), (1, 2), (2, 2), (3, 2)]]","[530.73, -338.29, 1.0, [(0, 2), (1, 3), (2, 17), (3, 13)]]","[401.71, -209.27, 1.0, [(0, 1), (1, 2), (2, 2), (3, 2)]]","[451.82, -259.38, 1.0, [(0, 20), (1, 16), (2, 18), (3, 18)]]",0.0255,"[529.2, -336.76, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[426.81, -234.37, 1.0, [(0, 9), (1, 9), (2, 16), (3, 16)]]",0.002
24,"[392.94, -199.45, 1.0, [(0, 18), (1, 6), (2, 6), (3, 6), (4, 6)]]","[560.14, -366.65, 1.0, [(0, 8), (1, 10), (2, 8), (3, 10), (4, 9)]]","[392.94, -199.45, 1.0, [(0, 18), (1, 6), (2, 6), (3, 6), (4, 6)]]","[471.99, -278.5, 1.0, [(0, 20), (1, 20), (2, 16), (3, 18), (4, 18)]]",0.1148,"[556.62, -363.13, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[451.68, -258.19, 1.0, [(0, 2), (1, 1), (2, 1), (3, 8), (4, 8)]]",0.008
25,None,None,None,None,0.0608,None,0.0,None,0.009
26,"[116.27, 472.27, 3.0, [(0, 19), (1, 19)]]","[38.76, 157.43, 1.0, [(0, 20), (1, 20)]]","[38.76, 157.43, 1.0, [(0, 20), (1, 20)]]","[207.89, 380.65, 3.0, [(0, 20), (1, 11)]]",0.004,"[139.84, 252.52, 2.0, [(0, 1), (1, 2)]]",0.0,"[207.89, 380.65, 3.0, [(0, 8), (1, 1)]]",0.0
27,None,None,None,None,0.002,None,0.0,None,0.008
28,None,None,None,None,0.002,None,0.0,None,0.006
29,"[373.71, 425.89, 4.0, [(0, 20), (1, 20), (2, 16), (3, 16), (4, 16)]]","[195.41, 4.49, 1.0, [(0, 13), (1, 5), (2, 13), (3, 5), (4, 13)]]","[81.58, 118.32, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 18)]]","[373.71, 425.89, 4.0, [(0, 20), (1, 20), (2, 16), (3, 16), (4, 16)]]",0.298,"[193.15, 6.75, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[193.31, 6.59, 1.0, [(0, 6), (1, 7), (2, 6), (3, 7), (4, 6)]]",0.0106
30,"[244.91, 559.97, 4.0, [(0, 11), (1, 11), (2, 11), (3, 11), (4, 20), (5, 20)]]","[143.41, 57.81, 1.0, [(0, 18), (1, 6), (2, 18), (3, 6), (4, 18), (5, 6)]]","[40.8, 160.42, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 18), (5, 18)]]","[246.58, 558.3, 4.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 11), (5, 11)]]",1.515,"[282.14, 120.3, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,"[249.1, 153.34, 2.0, [(0, 5), (1, 6), (2, 19), (3, 19), (4, 11), (5, 20)]]",0.0148
31,"[464.28, -261.63, 1.0, [(0, 16), (1, 20)]]","[466.37, -263.72, 1.0, [(0, 17), (1, 16)]]","[464.28, -261.63, 1.0, [(0, 16), (1, 20)]]","[465.32, -262.67, 1.0, [(0, 19), (1, 12)]]",0.003,None,0.0,"[465.84, -263.19, 1.0, [(0, 10), (1, 1)]]",0.0
32,"[706.47, -503.01, 1.0, [(0, 1), (1, 8), (2, 8)]]","[708.0, -504.54, 1.0, [(0, 20), (1, 16), (2, 16)]]","[706.47, -503.01, 1.0, [(0, 1), (1, 8), (2, 8)]]","[708.0, -504.54, 1.0, [(0, 20), (1, 16), (2, 16)]]",0.004,None,0.0,"[707.61, -504.15, 1.0, [(0, 16), (1, 9), (2, 9)]]",0.008
33,"[442.14, 377.78, 4.0, [(0, 16), (1, 16), (2, 9), (3, 9)]]","[119.33, 85.65, 1.0, [(0, 18), (1, 18), (2, 18), (3, 16)]]","[84.67, 120.31, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18)]]","[486.06, 333.86, 4.0, [(0, 20), (1, 16), (2, 9), (3, 9)]]",0.107,"[314.0, 95.96, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[312.05, 97.91, 2.0, [(0, 20), (1, 16), (2, 10), (3, 16)]]",0.002
34,"[440.06, -234.1, 1.0, [(0, 16), (1, 10), (2, 10), (3, 10), (4, 10)]]","[599.48, -393.52, 1.0, [(0, 6), (1, 19), (2, 7), (3, 11), (4, 20)]]","[440.06, -234.1, 1.0, [(0, 16), (1, 10), (2, 10), (3, 10), (4, 10)]]","[474.82, -268.86, 1.0, [(0, 20), (1, 20), (2, 20), (3, 18), (4, 18)]]",0.4426,None,0.0,"[510.14, -304.18, 1.0, [(0, 2), (1, 1), (2, 8), (3, 1), (4, 1)]]",0.006
35,None,None,None,None,0.2097,None,0.0,None,0.0105
36,"[490.93, -281.98, 1.0, [(0, 18), (1, 20)]]","[493.06, -284.11, 1.0, [(0, 18), (1, 6)]]","[490.93, -281.98, 1.0, [(0, 18), (1, 20)]]","[491.46, -282.51, 1.0, [(0, 20), (1, 18)]]",0.0035,"[491.99, -283.04, 1.0, [(0, 1), (1, 2)]]",0.0,"[492.53, -283.58, 1.0, [(0, 16), (1, 10)]]",0.0
37,"[498.05, 552.45, 5.0, [(0, 16), (1, 17), (2, 17)]]","[87.76, 122.34, 1.0, [(0, 18), (1, 18), (2, 18)]]","[87.76, 122.34, 1.0, [(0, 18), (1, 18), (2, 18)]]","[498.05, 552.45, 5.0, [(0, 16), (1, 17), (2, 17)]]",0.0211,"[256.36, 163.84, 2.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[383.21, 247.09, 3.0, [(0, 2), (1, 15), (2, 14)]]",0.0
38,"[519.12, 536.23, 5.0, [(0, 12), (1, 5), (2, 5), (3, 5)]]","[182.26, 28.81, 1.0, [(0, 20), (1, 16), (2, 20), (3, 16)]]","[88.78, 122.29, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[520.65, 534.7, 5.0, [(0, 20), (1, 11), (2, 11), (3, 11)]]",0.1495,"[359.59, 62.55, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[243.4, 178.74, 2.0, [(0, 20), (1, 20), (2, 16), (3, 16)]]",0.0
39,"[459.33, 390.83, 4.0, [(0, 15), (1, 15), (2, 15), (3, 9), (4, 9)]]","[198.3, 14.24, 1.0, [(0, 20), (1, 18), (2, 16), (3, 20), (4, 18)]]","[89.81, 122.73, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 18)]]","[460.35, 389.81, 4.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 16)]]",1.0611,"[195.52, 17.02, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[417.91, 219.71, 3.0, [(0, 4), (1, 16), (2, 18), (3, 5), (4, 5)]]",0.001
40,"[224.71, 630.25, 4.0, [(0, 11), (1, 11), (2, 6), (3, 6), (4, 6), (5, 6)]]","[70.99, 142.75, 1.0, [(0, 5), (1, 5), (2, 18), (3, 5), (4, 5), (5, 5)]]","[45.41, 168.33, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 18), (5, 18)]]","[240.03, 614.93, 4.0, [(0, 20), (1, 20), (2, 20), (3, 17), (4, 17), (5, 17)]]",7.3021,"[413.13, 228.09, 3.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,"[276.63, 150.85, 2.0, [(0, 19), (1, 11), (2, 10), (3, 16), (4, 4), (5, 5)]]",0.0055
41,"[803.85, -588.94, 1.0, [(0, 12), (1, 11)]]","[806.67, -591.76, 1.0, [(0, 11), (1, 20)]]","[803.85, -588.94, 1.0, [(0, 12), (1, 11)]]","[804.55, -589.64, 1.0, [(0, 16), (1, 20)]]",0.002,None,0.0,"[805.96, -591.05, 1.0, [(0, 16), (1, 9)]]",0.0
42,None,None,None,None,0.0017,None,0.0,None,0.0055
43,"[789.58, -572.13, 1.0, [(0, 16), (1, 20), (2, 20), (3, 20)]]","[977.97, -760.52, 1.0, [(0, 19), (1, 11), (2, 19), (3, 6)]]","[789.58, -572.13, 1.0, [(0, 16), (1, 20), (2, 20), (3, 20)]]","[860.22, -642.77, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16)]]",0.0176,None,0.0,None,0.0125
44,"[806.81, -587.99, 1.0, [(0, 10), (1, 10), (2, 9), (3, 9), (4, 9)]]","[909.15, -690.33, 1.0, [(0, 17), (1, 16), (2, 9), (3, 10), (4, 10)]]","[806.81, -587.99, 1.0, [(0, 10), (1, 10), (2, 9), (3, 9), (4, 9)]]","[836.71, -617.89, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 16)]]",0.0802,None,0.0,None,0.015
45,"[466.21, 413.03, 4.0, [(0, 3), (1, 3), (2, 3), (3, 2), (4, 2), (5, 2)]]","[441.08, -1.46, 2.0, [(0, 16), (1, 18), (2, 6), (3, 19), (4, 6), (5, 19)]]","[95.94, 123.87, 1.0, [(0, 16), (1, 16), (2, 16), (3, 16), (4, 16), (5, 16)]]","[467.05, 412.19, 4.0, [(0, 20), (1, 20), (2, 20), (3, 11), (4, 11), (5, 11)]]",0.6494,"[436.01, 3.61, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.0166
46,"[290.88, 372.03, 3.0, [(0, 19), (1, 19)]]","[96.96, 124.01, 1.0, [(0, 16), (1, 16)]]","[96.96, 124.01, 1.0, [(0, 16), (1, 16)]]","[290.88, 372.03, 3.0, [(0, 19), (1, 19)]]",0.0035,"[275.02, 166.92, 2.0, [(0, 1), (1, 2)]]",0.0,"[96.96, 124.01, 1.0, [(0, 3), (1, 3)]]",0.0
47,"[508.04, -285.53, 1.0, [(0, 19), (1, 6), (2, 6)]]","[567.2, -344.69, 1.0, [(0, 20), (1, 10), (2, 9)]]","[508.04, -285.53, 1.0, [(0, 19), (1, 6), (2, 6)]]","[565.01, -342.5, 1.0, [(0, 20), (1, 16), (2, 18)]]",0.0115,"[565.01, -342.5, 1.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[566.5, -343.99, 1.0, [(0, 11), (1, 20), (2, 10)]]",0.0
48,"[445.14, 450.5, 4.0, [(0, 4), (1, 5), (2, 5), (3, 5)]]","[200.99, 22.92, 1.0, [(0, 12), (1, 4), (2, 12), (3, 11)]]","[98.0, 125.91, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[445.68, 449.96, 4.0, [(0, 13), (1, 5), (2, 5), (3, 5)]]",0.0632,"[399.37, 48.45, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[400.54, 47.28, 2.0, [(0, 5), (1, 13), (2, 14), (3, 12)]]",0.001
49,"[1283.47, -1058.68, 1.0, [(0, 10), (1, 10), (2, 10), (3, 11), (4, 11)]]","[1483.69, -1258.9, 1.0, [(0, 20), (1, 11), (2, 12), (3, 11), (4, 19)]]","[1283.47, -1058.68, 1.0, [(0, 10), (1, 10), (2, 10), (3, 11), (4, 11)]]","[1366.5, -1141.71, 1.0, [(0, 20), (1, 20), (2, 11), (3, 11), (4, 19)]]",0.1073,None,0.0,None,0.0142
50,"[485.27, 419.25, 4.0, [(0, 14), (1, 14), (2, 18), (3, 18), (4, 18), (5, 18)]]","[479.63, -27.37, 2.0, [(0, 16), (1, 9), (2, 15), (3, 9), (4, 15), (5, 9)]]","[100.05, 126.08, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19)]]","[509.03, 395.49, 4.0, [(0, 20), (1, 20), (2, 20), (3, 11), (4, 11), (5, 11)]]",1.5123,"[476.23, -23.97, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.0165
51,"[303.21, 378.45, 3.0, [(0, 17), (1, 17)]]","[101.07, 126.15, 1.0, [(0, 16), (1, 16)]]","[101.07, 126.15, 1.0, [(0, 16), (1, 16)]]","[408.89, 272.77, 3.0, [(0, 20), (1, 16)]]",0.0046,"[274.75, 179.69, 2.0, [(0, 1), (1, 2)]]",0.0,"[408.89, 272.77, 3.0, [(0, 17), (1, 3)]]",0.0015
52,"[378.0, 764.3, 5.0, [(0, 17), (1, 17), (2, 12)]]","[180.82, 276.1, 2.0, [(0, 1), (1, 9), (2, 1)]]","[102.09, 354.83, 2.0, [(0, 19), (1, 19), (2, 19)]]","[449.0, 693.3, 5.0, [(0, 20), (1, 18), (2, 20)]]",0.019,"[359.63, 554.21, 4.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[303.4, 610.44, 4.0, [(0, 12), (1, 12), (2, 11)]]",0.0
53,None,None,None,None,0.002,None,0.0,None,0.007
54,"[875.59, -644.18, 1.0, [(0, 8), (1, 8), (2, 7), (3, 7), (4, 7)]]","[983.54, -752.13, 1.0, [(0, 19), (1, 12), (2, 4), (3, 3), (4, 3)]]","[875.59, -644.18, 1.0, [(0, 8), (1, 8), (2, 7), (3, 7), (4, 7)]]","[961.76, -730.35, 1.0, [(0, 20), (1, 20), (2, 18), (3, 16), (4, 16)]]",0.2628,None,0.0,"[980.16, -748.75, 1.0, [(0, 2), (1, 15), (2, 9), (3, 1), (4, 1)]]",0.001
55,"[641.04, 522.31, 5.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 11), (5, 11)]]","[448.81, 16.53, 2.0, [(0, 20), (1, 10), (2, 20), (3, 11), (4, 12), (5, 14)]]","[105.16, 127.51, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 18), (5, 18)]]","[869.8, 293.55, 5.0, [(0, 20), (1, 20), (2, 18), (3, 16), (4, 17), (5, 17)]]",4.2047,"[446.99, 18.35, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,"[443.94, 21.4, 2.0, [(0, 3), (1, 17), (2, 12), (3, 4), (4, 3), (5, 17)]]",0.001
56,"[650.95, 518.2, 5.0, [(0, 17), (1, 13)]]","[106.19, 127.64, 1.0, [(0, 20), (1, 20)]]","[106.19, 127.64, 1.0, [(0, 20), (1, 20)]]","[650.95, 518.2, 5.0, [(0, 17), (1, 13)]]",0.0037,"[262.34, 205.32, 2.0, [(0, 1), (1, 2)]]",0.0,"[652.18, 516.97, 5.0, [(0, 17), (1, 12)]]",0.0
57,"[945.78, -710.54, 1.0, [(0, 5), (1, 5), (2, 13)]]","[1004.93, -769.69, 1.0, [(0, 19), (1, 8), (2, 7)]]","[945.78, -710.54, 1.0, [(0, 5), (1, 5), (2, 13)]]","[1001.85, -766.61, 1.0, [(0, 20), (1, 18), (2, 20)]]",0.0105,None,0.0,"[1003.13, -767.89, 1.0, [(0, 13), (1, 14), (2, 18)]]",0.001
58,"[536.2, -299.96, 1.0, [(0, 11), (1, 11), (2, 11), (3, 11)]]","[1392.26, -919.78, 2.0, [(0, 20), (1, 17), (2, 20), (3, 16)]]","[536.2, -299.96, 1.0, [(0, 11), (1, 11), (2, 11), (3, 11)]]","[1389.06, -916.58, 2.0, [(0, 20), (1, 18), (2, 6), (3, 11)]]",0.1447,"[695.69, -459.45, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[695.8, -459.56, 1.0, [(0, 17), (1, 12), (2, 5), (3, 13)]]",0.0
59,"[2361.12, -2123.73, 1.0, [(0, 13), (1, 13), (2, 18), (3, 16), (4, 16)]]","[2396.85, -2159.46, 1.0, [(0, 13), (1, 5), (2, 18), (3, 16), (4, 16)]]","[2361.12, -2123.73, 1.0, [(0, 13), (1, 13), (2, 18), (3, 16), (4, 16)]]","[2395.84, -2158.45, 1.0, [(0, 20), (1, 10), (2, 11), (3, 6), (4, 6)]]",0.0315,None,0.0,None,0.0106
60,None,None,None,None,0.002,None,0.0,None,0.0082
61,"[453.81, 987.87, 6.0, [(0, 20), (1, 16)]]","[110.3, 370.26, 2.0, [(0, 18), (1, 18)]]","[110.3, 370.26, 2.0, [(0, 18), (1, 18)]]","[453.81, 987.87, 6.0, [(0, 20), (1, 16)]]",0.004,"[302.54, 658.58, 4.0, [(0, 1), (1, 2)]]",0.0,"[381.31, 820.09, 5.0, [(0, 14), (1, 15)]]",0.0
62,"[533.49, 431.67, 4.0, [(0, 18), (1, 14), (2, 14)]]","[111.32, 129.97, 1.0, [(0, 19), (1, 19), (2, 19)]]","[111.32, 129.97, 1.0, [(0, 19), (1, 19), (2, 19)]]","[660.02, 305.14, 4.0, [(0, 20), (1, 16), (2, 9)]]",0.0095,"[660.41, 304.75, 4.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[431.07, 292.8, 3.0, [(0, 12), (1, 12), (2, 11)]]",0.0
63,"[954.75, -711.95, 1.0, [(0, 16), (1, 16), (2, 20), (3, 20)]]","[1074.97, -832.17, 1.0, [(0, 16), (1, 18), (2, 6), (3, 5)]]","[954.75, -711.95, 1.0, [(0, 16), (1, 16), (2, 20), (3, 20)]]","[986.56, -743.76, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16)]]",0.0294,"[1070.07, -827.27, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[1072.08, -829.28, 1.0, [(0, 10), (1, 8), (2, 1), (3, 2)]]",0.001
64,"[500.89, 473.31, 4.0, [(0, 6), (1, 6), (2, 19), (3, 19), (4, 19)]]","[231.39, 12.16, 1.0, [(0, 13), (1, 5), (2, 13), (3, 5), (4, 6)]]","[113.37, 130.18, 1.0, [(0, 14), (1, 14), (2, 14), (3, 14), (4, 14)]]","[641.45, 332.75, 4.0, [(0, 20), (1, 20), (2, 16), (3, 18), (4, 18)]]",0.1762,"[458.36, 28.74, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[438.77, 48.33, 2.0, [(0, 19), (1, 19), (2, 6), (3, 19), (4, 6)]]",0.003
