profit_per_user,multi_func_profit_cost,multi_func_worst_profit_cost,multi_func_min_cost_cost,multi_func_max_users_cost,single_func_cost,random_deploy_cost,multi_func_profit_profit,multi_func_worst_profit_profit,multi_func_min_cost_profit,multi_func_max_users_profit,single_func_profit,random_deploy_profit,multi_func_profit_users,multi_func_worst_profit_users,multi_func_min_cost_users,multi_func_max_users_users,single_func_users,random_deploy_users
200.02,36520.0,123659.26,36520.0,121819.11,90130.6,38484.07,-36319.98,-123059.2,-36319.98,-121219.05,-89730.56,-38284.05,1.0,3.0,1.0,3.0,2.0,1.0
204.32,148235.27,154515.78,148235.27,153712.13,154515.78,154515.78,-148030.95,-154311.46,-148030.95,-153507.81,-154311.46,-154311.46,1.0,1.0,1.0,1.0,1.0,1.0
204.76,9968.0,26838.53,9968.0,25694.51,26838.53,13056.86,-9763.24,-26429.01,-9763.24,-25284.99,-26429.01,-12852.1,1.0,2.0,1.0,2.0,2.0,1.0
206.49,52276.0,176832.19,52276.0,171870.26,176832.19,176832.19,-52069.51,-176212.72,-52069.51,-171250.79,-176212.72,-176212.72,1.0,3.0,1.0,3.0,3.0,3.0
209.68,1782.6,7432.48,1782.6,7432.48,3445.99,2039.3,-1572.92,-6384.08,-1572.92,-6384.08,-3236.31,-1829.62,1.0,5.0,1.0,5.0,1.0,1.0
212.69,59654.0,183931.01,59654.0,180880.67,62384.6,182157.84,-59441.31,-183292.94,-59441.31,-180242.6,-62171.91,-181519.77,1.0,3.0,1.0,3.0,1.0,3.0
213.85,81354.0,158438.5,81354.0,158438.5,142594.65,142594.65,-80070.9,-156300.0,-80070.9,-156300.0,-140670.0,-140670.0,6.0,10.0,6.0,10.0,9.0,9.0
224.23,15447.67,55176.94,15447.67,55176.94,27139.92,34019.09,-14774.98,-52037.72,-14774.98,-52037.72,-26467.23,-32897.94,3.0,14.0,3.0,14.0,3.0,5.0
228.23,34468.0,81741.51,34468.0,79626.63,81741.51,75907.06,-34239.77,-81285.05,-34239.77,-79170.17,-81285.05,-75450.6,1.0,2.0,1.0,2.0,2.0,2.0
229.06,15580.42,30253.25,15580.42,30072.0,18660.12,21770.14,-14206.06,-26817.35,-14206.06,-25490.8,-17285.76,-20166.72,6.0,15.0,6.0,20.0,6.0,7.0
231.75,3967.6,12022.64,3967.6,7935.2,8006.99,6067.36,-3504.1,-11095.64,-3504.1,-7008.2,-7775.24,-5835.61,2.0,4.0,2.0,4.0,1.0,1.0
232.73,13551.2,73060.81,13551.2,73060.81,58448.65,58448.65,-13318.47,-71897.16,-13318.47,-71897.16,-57517.73,-57517.73,1.0,5.0,1.0,5.0,4.0,4.0
241.84,17917.48,17917.48,17917.48,17917.48,17917.48,17917.48,-17675.64,-17675.64,-17675.64,-17675.64,-17675.64,-17675.64,1.0,1.0,1.0,1.0,1.0,1.0
242.55,45248.0,96761.81,45248.0,93556.32,96761.81,96182.45,-45005.45,-96276.71,-45005.45,-93071.22,-96276.71,-95697.35,1.0,2.0,1.0,2.0,2.0,2.0
242.64,8566.21,28669.47,8566.21,28669.47,11792.31,15594.83,-7838.29,-25515.15,-7838.29,-25515.15,-11064.39,-14381.63,3.0,13.0,3.0,13.0,3.0,5.0
243.49,71927.31,78822.92,71927.31,78822.92,78822.92,78822.92,-71683.82,-78579.43,-71683.82,-78579.43,-78579.43,-78579.43,1.0,1.0,1.0,1.0,1.0,1.0
247.81,3211.6,8908.38,3211.6,4817.4,5938.92,5938.92,-2715.98,-8164.95,-2715.98,-4073.97,-5443.3,-5443.3,2.0,3.0,2.0,3.0,2.0,2.0
249.06,7626.66,68759.6,7626.66,68759.6,9800.67,9800.67,-7377.6,-65272.76,-7377.6,-65272.76,-9551.61,-9551.61,1.0,14.0,1.0,14.0,1.0,1.0
252.83,5228.6,40618.94,5228.6,40618.94,24661.89,32882.52,-4975.77,-39101.96,-4975.77,-39101.96,-23903.4,-31871.2,1.0,6.0,1.0,6.0,3.0,4.0
