test_data_id,node_count,computation_capacity,function_count,resource_demands,data_sizes,bandwidth_matrix,gpu_cost,memory_cost,bandwidth_cost,profit_per_user
1,8,"[[413,1239],[61,305],[392,784],[90,360],[545,1090],[62,186],[221,1105],[145,1015]]",6,"[[10.3, 142], [12.4, 130], [14.9, 176], [17.9, 272], [21.4, 351], [25.7, 303]]","[74, 74, 43, 84, 20]","[[0, 500, 500, 1000, 0, 0, 50, 1000], [500, 0, 200, 0, 50, 100, 50, 100], [500, 200, 0, 1000, 1000, 100, 50, 0], [1000, 0, 1000, 0, 200, 0, 100, 500], [0, 50, 1000, 200, 0, 1000, 500, 0], [0, 100, 100, 0, 1000, 0, 1000, 500], [50, 50, 50, 100, 500, 1000, 0, 500], [1000, 100, 0, 500, 0, 500, 500, 0]]",0.404,0.06,0.01,225
2,5,"[[454,1362],[164,1148],[145,1160],[221,1326],[597,1194]]",4,"[[8.2, 142], [9.9, 166], [11.8, 169], [14.2, 228]]","[95, 94, 82]","[[0, 1000, 200, 1000, 1000], [1000, 0, 1000, 1000, 1000], [200, 1000, 0, 200, 500], [1000, 1000, 200, 0, 200], [1000, 1000, 500, 200, 0]]",0.238,0.07,0.06,357
3,15,"[[164,820],[150,750],[158,1264],[536,1072],[576,1728],[69,345],[581,1162],[91,364],[52,260],[84,504],[85,425],[72,432],[298,596],[232,1624],[62,186]]",5,"[[11.8, 165], [14.2, 276], [17.0, 225], [20.5, 377], [24.5, 345]]","[72, 53, 80, 91]","[[0, 500, 0, 50, 50, 1000, 500, 200, 1000, 200, 200, 50, 200, 100, 200], [500, 0, 1000, 0, 500, 500, 0, 500, 100, 50, 0, 0, 200, 200, 1000], [0, 1000, 0, 200, 0, 200, 50, 500, 100, 1000, 100, 500, 0, 0, 200], [50, 0, 200, 0, 1000, 0, 50, 0, 0, 200, 200, 1000, 0, 1000, 500], [50, 500, 0, 1000, 0, 200, 0, 500, 500, 1000, 1000, 0, 100, 0, 200], [1000, 500, 200, 0, 200, 0, 500, 0, 0, 0, 500, 0, 0, 1000, 100], [500, 0, 50, 50, 0, 500, 0, 1000, 50, 50, 200, 500, 200, 200, 1000], [200, 500, 500, 0, 500, 0, 1000, 0, 200, 1000, 0, 0, 50, 1000, 500], [1000, 100, 100, 0, 500, 0, 50, 200, 0, 1000, 0, 0, 0, 500, 500], [200, 50, 1000, 200, 1000, 0, 50, 1000, 1000, 0, 500, 100, 1000, 1000, 50], [200, 0, 100, 200, 1000, 500, 200, 0, 0, 500, 0, 500, 200, 100, 0], [50, 0, 500, 1000, 0, 0, 500, 0, 0, 100, 500, 0, 500, 1000, 500], [200, 200, 0, 0, 100, 0, 200, 50, 0, 1000, 200, 500, 0, 500, 100], [100, 200, 0, 1000, 0, 1000, 200, 1000, 500, 1000, 100, 1000, 500, 0, 500], [200, 1000, 200, 500, 200, 100, 1000, 500, 500, 50, 0, 500, 100, 500, 0]]",0.247,0.1,0.05,218
4,10,"[[193,1351],[199,1194],[426,852],[371,1113],[134,804],[50,150],[87,522],[170,1190],[71,284],[365,730]]",7,"[[10.3, 114], [12.3, 158], [14.8, 259], [17.7, 291], [21.3, 359], [25.5, 384], [30.6, 569]]","[74, 55, 43, 70, 23, 71]","[[0, 1000, 0, 0, 50, 0, 50, 100, 200, 200], [1000, 0, 500, 50, 200, 0, 100, 1000, 100, 0], [0, 500, 0, 200, 50, 1000, 50, 1000, 100, 200], [0, 50, 200, 0, 200, 1000, 0, 100, 0, 200], [50, 200, 50, 200, 0, 200, 0, 0, 100, 100], [0, 0, 1000, 1000, 200, 0, 500, 1000, 200, 0], [50, 100, 50, 0, 0, 500, 0, 500, 0, 100], [100, 1000, 1000, 100, 0, 1000, 500, 0, 500, 500], [200, 100, 100, 0, 100, 200, 0, 500, 0, 1000], [200, 0, 200, 200, 100, 0, 100, 500, 1000, 0]]",0.486,0.06,0.08,226
5,9,"[[235,1410],[101,707],[64,320],[108,756],[156,780],[309,927],[77,385],[542,1084],[86,516]]",6,"[[10.7, 167], [12.8, 164], [15.4, 246], [18.4, 353], [22.1, 315], [26.6, 431]]","[69, 63, 74, 65, 65]","[[0, 200, 1000, 0, 1000, 1000, 0, 0, 1000], [200, 0, 500, 1000, 100, 200, 1000, 0, 0], [1000, 500, 0, 200, 50, 100, 0, 100, 0], [0, 1000, 200, 0, 500, 50, 0, 200, 0], [1000, 100, 50, 500, 0, 500, 1000, 100, 200], [1000, 200, 100, 50, 500, 0, 200, 500, 500], [0, 1000, 0, 0, 1000, 200, 0, 500, 1000], [0, 0, 100, 200, 100, 500, 500, 0, 200], [1000, 0, 0, 0, 200, 500, 1000, 200, 0]]",0.351,0.12,0.02,210
6,10,"[[130,910],[89,356],[581,1743],[70,420],[100,500],[127,889],[356,1068],[92,460],[356,1068],[390,780]]",7,"[[7.5, 111], [9.0, 153], [10.8, 173], [13.0, 206], [15.6, 172], [18.7, 197], [22.4, 441]]","[99, 80, 28, 96, 98, 59]","[[0, 500, 0, 1000, 100, 0, 100, 200, 0, 1000], [500, 0, 1000, 200, 0, 0, 500, 500, 50, 200], [0, 1000, 0, 1000, 0, 1000, 500, 1000, 0, 0], [1000, 200, 1000, 0, 1000, 0, 1000, 200, 0, 100], [100, 0, 0, 1000, 0, 1000, 50, 0, 200, 50], [0, 0, 1000, 0, 1000, 0, 200, 200, 200, 100], [100, 500, 500, 1000, 50, 200, 0, 200, 100, 0], [200, 500, 1000, 200, 0, 200, 200, 0, 1000, 1000], [0, 50, 0, 0, 200, 200, 100, 1000, 0, 200], [1000, 200, 0, 100, 50, 100, 0, 1000, 200, 0]]",0.347,0.13,0.04,454
7,5,"[[188,940],[57,342],[168,1176],[189,945],[341,682]]",4,"[[10.6, 148], [12.8, 236], [15.3, 228], [18.4, 229]]","[43, 60, 48]","[[0, 1000, 500, 0, 1000], [1000, 0, 1000, 200, 0], [500, 1000, 0, 500, 1000], [0, 200, 500, 0, 500], [1000, 0, 1000, 500, 0]]",0.332,0.13,0.01,453
8,7,"[[91,546],[305,915],[308,924],[171,855],[54,216],[224,1792],[307,921]]",4,"[[6.1, 67], [7.3, 135], [8.8, 145], [10.5, 187]]","[51, 83, 57]","[[0, 1000, 50, 1000, 0, 100, 500], [1000, 0, 200, 1000, 200, 100, 500], [50, 200, 0, 1000, 100, 1000, 1000], [1000, 1000, 1000, 0, 500, 100, 1000], [0, 200, 100, 500, 0, 1000, 0], [100, 100, 1000, 100, 1000, 0, 200], [500, 500, 1000, 1000, 0, 200, 0]]",0.33,0.13,0.07,250
9,14,"[[81,405],[61,366],[422,1266],[237,1185],[91,273],[95,475],[387,774],[225,1800],[201,1005],[236,1652],[176,1056],[130,910],[286,858],[93,465]]",5,"[[11.2, 203], [13.5, 196], [16.2, 195], [19.4, 241], [23.3, 460]]","[45, 37, 53, 33]","[[0, 200, 50, 50, 200, 1000, 0, 0, 0, 500, 1000, 1000, 50, 500], [200, 0, 500, 100, 1000, 500, 0, 0, 100, 1000, 200, 200, 500, 50], [50, 500, 0, 1000, 0, 1000, 0, 1000, 1000, 0, 0, 100, 100, 0], [50, 100, 1000, 0, 500, 50, 0, 50, 500, 0, 50, 500, 1000, 200], [200, 1000, 0, 500, 0, 200, 200, 1000, 0, 1000, 50, 500, 500, 100], [1000, 500, 1000, 50, 200, 0, 200, 0, 500, 500, 0, 0, 1000, 0], [0, 0, 0, 0, 200, 200, 0, 1000, 1000, 0, 500, 50, 0, 0], [0, 0, 1000, 50, 1000, 0, 1000, 0, 200, 0, 0, 200, 0, 0], [0, 100, 1000, 500, 0, 500, 1000, 200, 0, 1000, 0, 500, 500, 50], [500, 1000, 0, 0, 1000, 500, 0, 0, 1000, 0, 200, 200, 100, 1000], [1000, 200, 0, 50, 50, 0, 500, 0, 0, 200, 0, 200, 100, 0], [1000, 200, 100, 500, 500, 0, 50, 200, 500, 200, 200, 0, 1000, 0], [50, 500, 100, 1000, 500, 1000, 0, 0, 500, 100, 100, 1000, 0, 500], [500, 50, 0, 200, 100, 0, 0, 0, 50, 1000, 0, 0, 500, 0]]",0.443,0.12,0.02,438
10,7,"[[356,712],[508,1016],[63,378],[470,940],[365,730],[488,1464],[596,1788]]",6,"[[10.8, 215], [13.0, 169], [15.6, 162], [18.7, 264], [22.4, 357], [26.9, 489]]","[82, 66, 44, 62, 69]","[[0, 200, 200, 50, 200, 200, 200], [200, 0, 500, 1000, 500, 500, 100], [200, 500, 0, 500, 500, 200, 100], [50, 1000, 500, 0, 200, 500, 0], [200, 500, 500, 200, 0, 200, 200], [200, 500, 200, 500, 200, 0, 1000], [200, 100, 100, 0, 200, 1000, 0]]",0.252,0.08,0.03,462
