test_data_id,multi_func_profit_info,multi_func_time,compute_first_info,compute_first_time,memory_first_info,memory_first_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
1,"[183.52, 2281.48, 5, [(0, 5), (1, 1)]]",0.0,"[36.7, 456.3, 1.0, [(0, 5), (1, 2)]]",0.0,"[110.11, 1368.89, 3.0, [(0, 2), (1, 1)]]",0.0,"[131.7, 1840.3, 4, [(0, 1), (1, 1)]]",0.0,"[73.41, 912.59, 2, [(0, 1), (1, 3)]]",0.0
2,"[527.11, 816.89, 4, [(0, 1), (1, 2), (2, 4), (3, 7), (4, 8)]]",4.296,"[131.78, 204.22, 1, [(0, 11), (1, 2), (2, 11), (3, 2), (4, 11)]]",0.0012,None,0.001,"[122.14, 213.86, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]]",0.0,"[129.22, 206.78, 1, [(0, 14), (1, 14), (2, 1), (3, 5), (4, 6)]]",0.0
3,"[538.09, 1288.91, 7, [(0, 3), (1, 4), (2, 2), (3, 5)]]",0.0055,"[230.61, 552.39, 3, [(0, 5), (1, 2), (2, 5), (3, 2)]]",0.0,"[307.48, 736.52, 4, [(0, 2), (1, 4), (2, 2), (3, 4)]]",0.0,"[190.08, 592.92, 3, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.0,"[153.74, 368.26, 2, [(0, 5), (1, 1), (2, 2), (3, 4)]]",0.0
4,"[340.97, 1007.03, 4, [(0, 12), (1, 12), (2, 13), (3, 8), (4, 7)]]",3.1737,"[86.44, 250.56, 1, [(0, 1), (1, 10), (2, 1), (3, 7), (4, 1)]]",0.0,"[172.88, 501.12, 2, [(0, 13), (1, 12), (2, 13), (3, 7), (4, 13)]]",0.001,"[78.16, 258.84, 1, [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7)]]",0.0,"[86.44, 250.56, 1, [(0, 4), (1, 9), (2, 10), (3, 5), (4, 6)]]",0.0
5,"[187.39, 1792.61, 4, [(0, 2), (1, 2), (2, 5)]]",0.0025,"[49.07, 445.93, 1.0, [(0, 4), (1, 2), (2, 4)]]",0.0,"[49.07, 445.93, 1.0, [(0, 2), (1, 4), (2, 2)]]",0.0,"[45.8, 449.2, 1, [(0, 1), (1, 1), (2, 1)]]",0.0,"[98.14, 891.86, 2, [(0, 3), (1, 4), (2, 3)]]",0.0
6,"[140.06, 1239.94, 4, [(0, 1), (1, 1)]]",0.001,"[149.66, 1230.34, 4, [(0, 1), (1, 5)]]",0.001,"[37.41, 307.59, 1.0, [(0, 1), (1, 3)]]",0.0,"[140.06, 1239.94, 4, [(0, 1), (1, 1)]]",0.0,"[140.06, 1239.94, 4, [(0, 1), (1, 1)]]",0.0
7,"[253.3, 616.7, 3, [(0, 5), (1, 1), (2, 1), (3, 6)]]",0.006,"[172.75, 407.25, 2, [(0, 2), (1, 1), (2, 2), (3, 1)]]",0.0,"[172.75, 407.25, 2.0, [(0, 1), (1, 2), (2, 1), (3, 6)]]",0.0,"[80.75, 209.25, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[86.37, 203.63, 1, [(0, 6), (1, 5), (2, 1), (3, 2)]]",0.0
8,"[366.67, 713.33, 5, [(0, 5), (1, 4), (2, 3)]]",0.0015,"[293.33, 570.67, 4, [(0, 4), (1, 5), (2, 4)]]",0.0005,"[293.33, 570.67, 4, [(0, 4), (1, 3), (2, 4)]]",0.0,"[123.85, 308.15, 2, [(0, 1), (1, 1), (2, 1)]]",0.0,"[146.67, 285.33, 2.0, [(0, 1), (1, 5), (2, 3)]]",0.0
9,"[108.39, 417.61, 2, [(0, 1), (1, 2), (2, 2)]]",0.0,"[57.83, 205.17, 1, [(0, 3), (1, 2), (2, 3)]]",0.0,"[115.67, 410.33, 2, [(0, 2), (1, 3), (2, 2)]]",0.0,"[50.71, 212.29, 1, [(0, 2), (1, 2), (2, 2)]]",0.0,"[57.83, 205.17, 1, [(0, 1), (1, 3), (2, 4)]]",0.0
10,"[401.24, 598.76, 5, [(0, 1), (1, 1), (2, 3), (3, 4)]]",0.014,"[172.68, 227.32, 2.0, [(0, 1), (1, 5), (2, 1), (3, 3)]]",0.0005,"[345.35, 454.65, 4, [(0, 4), (1, 5), (2, 4), (3, 3)]]",0.0,"[74.44, 125.56, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[172.68, 227.32, 2.0, [(0, 5), (1, 1), (2, 5), (3, 4)]]",0.0
